Rating Agency,Corporation,Rating,Rating Date,CIK,Binary Rating,SIC Code,Sector,Ticker,Current Ratio,Long-term Debt / Capital,Debt/Equity Ratio,Gross Margin,Operating Margin,EBIT Margin,EBITDA Margin,Pre-Tax Profit Margin,Net Profit Margin,Asset Turnover,ROE - Return On Equity,Return On Tangible Equity,ROA - Return On Assets,ROI - Return On Investment,Operating Cash Flow Per Share,Free Cash Flow Per Share,GPT_description
Egan-Jones Ratings Company,LENNOX INTERNATIONAL INC.,A+,2015-07-21,1069202,1,3585.0,Manuf,LII,1.1864,0.9868,102.8444,26.8249,9.9394,9.9394,11.745,9.4316,6.1115,1.9086,2312.216,-103.8423,11.7951,30.424,-0.3536,-0.6499,"Based on the financial indicators provided, Lennox International Inc. is in a good credit position. The company has a current ratio of 1.1864, indicating its ability to meet short-term obligations. Additionally, its long-term debt to capital ratio of 0.9868 suggests that the company has a manageable level of debt compared to its capital structure.

Lennox International Inc. has a debt/equity ratio of 102.8444, which indicates that the company relies heavily on debt financing. While this may be a cause for concern, it is important to note that the company's other financial indicators are positive. The gross margin of 26.8249 and operating margin of 9.9394 demonstrate the company's ability to generate a profit from its operations.

Furthermore, Lennox International Inc. has a return on equity (ROE) of 2312.216, indicating that it is highly efficient in generating profits from shareholders' investments. However, the return on tangible equity (ROTE) is -103.8423, suggesting that the company's intangible assets may be negatively impacting its profitability.

With an asset turnover of 1.9086, Lennox International Inc. efficiently utilizes its assets to generate revenue. The return on assets (ROA) of 11.7951 further supports the company's ability to generate profit from its assets.

Overall, Lennox International Inc. has a good credit status, as indicated by its positive financial indicators. While the company's heavy reliance on debt and negative ROTE may raise some concerns, its ability to generate profit and efficiently utilize its assets outweighs these factors."
Moody's Investors Service,Huntsman Corporation,BB-,2012-06-15,1307954,0,2860.0,Chems,HUN,2.161,0.6777,2.2218,16.3978,5.4006,5.4006,9.3129,3.2083,2.2012,1.2962,14.1329,15.9771,2.8994,4.5554,1.7559,1.3906,"Based on the provided financial indicators, Huntsman Corporation's credit status can be described as poor. The company's binary rating is 0, indicating a negative credit outlook. Several key ratios further highlight the company's weak financial position. 

The current ratio, which measures a company's ability to cover its short-term liabilities, stands at 2.161. While this ratio is above the industry average, it is relatively low, suggesting potential liquidity concerns. Additionally, the long-term debt to capital ratio is 0.6777, indicating a significant reliance on debt financing. The debt/equity ratio of 2.2218 further emphasizes the company's elevated debt levels, which could impact its ability to generate profits in the long run.

Huntsman Corporation's profitability margins are also relatively low. The gross margin, operating margin, EBIT margin, and EBITDA margin all hover around 5-9%, indicating a lack of pricing power and cost control. The pre-tax profit margin and net profit margin are even lower at 3.2083% and 2.2012%, respectively, suggesting that the company struggles to generate consistent profits.

Furthermore, the return on equity (ROE) and return on tangible equity (ROTE) stand at 14.1329% and 15.9771%, respectively. While these figures may seem decent, they are relatively low compared to industry peers, indicating a subpar utilization of shareholders' investments.

Overall, Huntsman Corporation's credit status is poor, as evidenced by its weak liquidity position, high debt levels, and low profitability margins. The company will likely face challenges in meeting its financial obligations and generating sustainable profits in the future."
Standard & Poor's Ratings Services,Hershey Company (The),AA,2015-09-22,47111,1,2060.0,NoDur,HSY,1.7665,0.5263,1.2141,45.9112,18.7243,18.7243,21.5375,17.5106,11.4814,1.3338,50.77,97.1837,15.3145,24.0523,0.449,0.1874,"Based on the provided financial indicators, The Hershey Company is in a good credit position. The company has a current ratio of 1.7665, indicating that it has sufficient short-term assets to cover its current liabilities. This suggests that the company is able to meet its short-term obligations without difficulty.

The long-term debt to capital ratio of 0.5263 demonstrates that Hershey has a relatively low level of long-term debt in relation to its total capital, indicating a lower risk of financial distress. Additionally, the debt/equity ratio of 1.2141 suggests that the company relies more on equity financing than debt financing.

Hershey's gross margin of 45.9112% indicates that it is able to generate a healthy profit margin on its products. The operating margin, EBIT margin, and EBITDA margin all hover around 18-21%, which demonstrates the company's ability to efficiently manage its operating expenses and generate profits.

The pre-tax profit margin of 17.5106% and net profit margin of 11.4814% indicate that Hershey is able to consistently generate profits after accounting for taxes and other expenses. This reflects the company's strong financial performance.

Hershey's return on equity (ROE) of 50.77% and return on tangible equity (ROTE) of 97.1837% show that the company is highly efficient in generating returns for its shareholders. The return on assets (ROA) of 15.3145% and return on investment (ROI) of 24.0523% further demonstrate Hershey's ability to effectively utilize its assets and investments to generate profits.

The asset turnover ratio of 1.3338 indicates that Hershey is able to generate a high level of sales relative to its total assets, suggesting efficient asset utilization. Additionally, the positive operating cash flow per share and free cash flow per share indicate that the company is generating healthy cash flows.

In summary, The Hershey Company displays a strong credit status based on its overall financial indicators. The company has a solid liquidity position, efficient profitability ratios, and strong returns for its shareholders. These factors contribute to its overall good credit rating."
Egan-Jones Ratings Company,"ROCKWELL AUTOMATION, INC",A+,2015-02-04,1024478,1,3620.0,Manuf,ROK,2.325,0.253,0.461,41.5777,17.1239,18.0192,20.3216,17.1239,12.4828,1.0641,31.1049,60.7361,13.2834,23.2345,0.1943,0.2219,"Based on the financial indicators provided, Rockwell Automation, Inc. appears to have a good credit status. The company has a strong current ratio of 2.325, indicating that it has sufficient short-term assets to cover its short-term liabilities. Additionally, the long-term debt to capital ratio is relatively low at 0.253, suggesting that the company has a conservative approach to financing its operations.

Rockwell Automation also demonstrates solid profitability, with a gross margin of 41.5777 and net profit margin of 12.4828. These figures indicate that the company is effectively managing its costs and generating healthy profits from its operations. Furthermore, the return on equity (ROE) is impressive at 31.1049, indicating that the company is generating a high return on the shareholders' investments.

The company's operational efficiency is also noteworthy, as evidenced by the asset turnover ratio of 1.0641. This suggests that Rockwell Automation is utilizing its assets efficiently to generate sales. Moreover, the return on assets (ROA) and return on investment (ROI) are 13.2834 and 23.2345 respectively, indicating that the company is generating satisfactory returns on its assets and investments.

In terms of cash flow, Rockwell Automation is performing well with positive operating cash flow per share of 0.1943 and free cash flow per share of 0.2219. This implies that the company has sufficient cash flow to cover its operating expenses and invest in future growth opportunities.

Overall, Rockwell Automation, Inc. demonstrates a strong credit status. The company's solid financial performance, profitability, operational efficiency, and positive cash flow indicate its ability to meet its financial obligations and generate consistent returns for its shareholders."
Moody's Investors Service,"Walgreens Boots Alliance, Inc.",BBB,2014-11-10,1618921,1,5912.0,Shops,WBA,1.3763,0.1527,0.2178,28.2346,5.4901,6.2978,8.0205,4.6562,2.5291,2.0508,9.8511,11.8925,5.4523,8.3467,-0.4693,-0.3974,"Based on the financial indicators provided, Walgreens Boots Alliance, Inc. demonstrates a good credit status. The company has a current ratio of 1.3763, indicating that it has sufficient current assets to cover its short-term liabilities. Additionally, the long-term debt to capital ratio of 0.1527 suggests that the company has a low level of debt in relation to its capital structure, which is favorable for its creditworthiness.

The debt/equity ratio of 0.2178 further confirms the company's strong credit position, as it indicates that the company relies more on equity financing than debt. This lowers the risk for creditors and enhances the company's ability to meet its financial obligations. 

Moreover, the company's gross margin of 28.2346 and operating margin of 5.4901 reflect a reasonable level of profitability. Although the margins are not exceptionally high, they are still positive and indicate that the company is generating a profit from its operations.

Furthermore, the return on equity (ROE) of 9.8511 and return on tangible equity (ROTE) of 11.8925 demonstrate that the company efficiently utilizes shareholder equity and tangible assets to generate returns. These ratios indicate that the management is effectively deploying the company's resources to generate profits for its shareholders.

Overall, Walgreens Boots Alliance, Inc. exhibits a strong credit status based on its favorable financial indicators. The company has a healthy liquidity position, low debt levels, and reasonable profit margins. Additionally, its efficient use of equity and assets to generate returns further enhances its creditworthiness."
Standard & Poor's Ratings Services,National Fuel Gas Co.,AA-,2014-03-18,70145,1,4924.0,Utils,NFG,1.4848,0.429,0.7513,74.8336,28.3041,28.3041,46.1642,23.6538,14.2112,0.2942,11.8466,11.8762,4.1812,6.7643,0.8873,4.9064,"Based on the financial indicators provided, National Fuel Gas Co. demonstrates a good credit status. The company's current ratio of 1.4848 indicates that it is capable of meeting its short-term obligations. This suggests that the company has a strong liquidity position, as it has sufficient current assets to cover its current liabilities.

Furthermore, the company's debt ratios are relatively low, with a long-term debt to capital ratio of 0.429 and a debt to equity ratio of 0.7513. These ratios indicate that National Fuel Gas Co. has a conservative approach to debt financing, with a significant portion of its capital being financed through equity. This implies that the company is at a lower risk of defaulting on its debt obligations.

In terms of profitability, the company exhibits strong margins across the board. Its gross margin of 74.8336% suggests that it has a healthy level of profitability after accounting for the cost of goods sold. Additionally, its operating margin, EBIT margin, EBITDA margin, pre-tax profit margin, and net profit margin all indicate that the company is effectively managing its expenses and generating profits.

National Fuel Gas Co. also demonstrates efficiency in utilizing its assets, with an asset turnover ratio of 0.2942. This suggests that the company is generating a substantial amount of revenue relative to its total assets.

Moreover, the return on equity (ROE), return on tangible equity (ROTE), return on assets (ROA), and return on investment (ROI) indicate that the company is generating satisfactory returns for its shareholders and investors.

Overall, National Fuel Gas Co. exhibits a strong credit status based on its financial indicators. Its liquidity, conservative debt management, profitability, asset utilization, and returns all contribute to a positive credit assessment."
Standard & Poor's Ratings Services,"M/I Homes, Inc.",CC,2013-05-07,799292,0,1531.0,Other,MHO,7.2485,0.5206,1.0859,19.8667,3.7839,3.7839,5.0626,1.6746,1.7518,0.9165,5.5821,3.9791,1.6056,1.9076,-0.5463,-0.5209,"Based on the financial indicators provided, M/I Homes, Inc. has a poor credit rating. The company's current ratio, which measures its ability to meet short-term obligations, is 7.2485. This indicates that M/I Homes has a strong liquidity position as it has more than seven times the current assets to cover its current liabilities.

However, the long-term debt to capital ratio is 0.5206, suggesting that the company has a significant amount of debt compared to its capital. Additionally, the debt/equity ratio of 1.0859 indicates that M/I Homes relies heavily on borrowed funds to finance its operations. This high debt level increases the company's financial risk and may impact its ability to generate profits.

The gross margin, which measures the profitability of the company's core business operations, is 19.8667%. While this indicates that M/I Homes is able to generate a decent profit from its sales, the operating margin, EBIT margin, and EBITDA margin are all relatively low at 3.7839%, 3.7839%, and 5.0626% respectively. These margins suggest that the company's operating efficiency and profitability are relatively weak.

Furthermore, the pre-tax profit margin and net profit margin are 1.6746% and 1.7518% respectively, which show that M/I Homes has limited profitability after accounting for taxes and other expenses.

In terms of asset utilization, the company's asset turnover ratio is 0.9165, indicating that M/I Homes is not efficiently utilizing its assets to generate sales.

Overall, M/I Homes, Inc. is facing challenges in terms of its high debt levels, weak profitability, and inefficient asset utilization. These factors contribute to its poor credit rating, highlighting the potential risks associated with investing or lending to the company."
Moody's Investors Service,"EMCOR Group, Inc.",BB+,2012-06-15,105634,0,1731.0,Other,EME,1.4551,0.1096,0.1244,13.0748,3.7551,3.7551,4.7131,3.587,2.3306,1.8624,10.006,40.4568,4.1335,8.9089,1.1381,1.0021,"Based on the financial indicators provided, EMCOR Group, Inc. has a poor credit rating. The company's current ratio, a measure of its ability to meet short-term obligations, is 1.4551. While this indicates that EMCOR has a relatively healthy liquidity position, there are other factors that contribute to its poor credit status.

The long-term debt to capital ratio of 0.1096 suggests that the company relies significantly on debt to finance its operations. Additionally, the debt/equity ratio of 0.1244 implies that EMCOR has a relatively low level of equity compared to its debt. These ratios indicate a higher risk for lenders and investors.

Furthermore, the company's gross margin of 13.0748 and operating margin of 3.7551 suggest that EMCOR faces challenges in generating profit from its operations. The net profit margin of 2.3306 is relatively low, indicating that the company's profitability is constrained.

In terms of efficiency, EMCOR has an asset turnover ratio of 1.8624, which suggests that it is able to generate a moderate level of revenue from its assets. However, the return on assets (ROA) of 4.1335 and return on equity (ROE) of 10.006 indicate that the company's profitability and returns are not particularly strong.

Overall, EMCOR Group, Inc. exhibits poor creditworthiness due to its heavy reliance on debt, relatively low profitability, and modest returns on assets and equity. These factors indicate potential risks for creditors and investors."
Standard & Poor's Ratings Services,Tutor Perini Corporation,BB-,2016-10-24,77543,0,1540.0,Other,TPC,1.8007,0.3391,0.5757,7.2402,2.1423,2.1423,2.9885,1.5006,0.9205,1.2743,3.1891,6.1315,1.173,2.1076,1.4373,2.2332,"Based on the financial indicators of Tutor Perini Corporation, the overall credit status of the company can be summarized as poor. The current ratio, which measures the company's ability to cover its short-term obligations, is 1.8007. Although this indicates that the company has sufficient current assets to meet its short-term liabilities, it is slightly below the industry average.

The long-term debt to capital ratio, which measures the proportion of long-term debt in the company's capital structure, is 0.3391. This indicates that the company relies moderately on debt financing. However, the debt to equity ratio, which measures the proportion of debt to shareholders' equity, is 0.5757, suggesting a higher level of debt relative to equity. This indicates a higher financial risk for the company.

The gross margin, operating margin, EBIT margin, EBITDA margin, pre-tax profit margin, and net profit margin are all relatively low, at 7.2402, 2.1423, 2.1423, 2.9885, 1.5006, and 0.9205 respectively. These margins indicate that the company is not generating high profits from its operations and is facing challenges in controlling costs.

The return on equity (ROE), return on tangible equity (ROTE), return on assets (ROA), and return on investment (ROI) are also low, at 3.1891, 6.1315, 1.173, and 2.1076 respectively. These ratios suggest that the company is not effectively utilizing its assets and capital to generate returns for its shareholders and investors.

The operating cash flow per share and free cash flow per share, at 1.4373 and 2.2332 respectively, indicate that the company's cash flow generation is relatively weak.

Overall, the company's financial indicators reflect a poor credit status, with low profitability, high debt levels, and weak cash flow generation. The company may face challenges in meeting its financial obligations and generating returns for its shareholders."
Standard & Poor's Ratings Services,Amgen Inc.,A,2014-10-16,318154,1,2836.0,Hlth,AMGN,3.4437,0.5728,1.454,82.084,31.4147,31.4147,38.3005,28.1913,27.206,0.2824,22.9951,-82.8334,7.6839,9.8242,0.7495,0.7453,"Based on the financial indicators provided, Amgen Inc. is considered to have a good credit status. The company exhibits a strong current ratio of 3.4437, indicating its ability to cover short-term obligations. Additionally, with a debt/equity ratio of 1.454 and a long-term debt/capital ratio of 0.5728, Amgen has a relatively balanced capital structure. 

Amgen's profitability ratios are also positive, with gross margin, operating margin, EBIT margin, EBITDA margin, pre-tax profit margin, and net profit margin all above 20%. This indicates that the company is effectively managing its costs and generating healthy returns on its investments. 

Moreover, Amgen demonstrates efficient asset utilization, with an asset turnover ratio of 0.2824. This suggests that the company is effectively using its assets to generate revenue. 

Although Amgen's return on equity (ROE) is at 22.9951%, which is a strong indicator of profitability, the return on tangible equity (ROTE) is negative at -82.8334%. This may be due to the significant intangible assets that the company possesses. However, the return on assets (ROA) is at a respectable 7.6839%, indicating efficient utilization of its assets to generate profits. 

Furthermore, the company's return on investment (ROI) is 9.8242%, which signifies that the company is generating a positive return on its investments. 

Amgen also demonstrates a healthy operating cash flow per share and free cash flow per share, indicating its ability to generate cash from its operations and invest in future growth opportunities. 

Overall, Amgen Inc. exhibits a strong credit status, supported by its robust financial indicators and profitability ratios. The company's ability to generate healthy returns, efficiently manage its assets, and maintain a balanced capital structure contribute to its favorable credit rating."
Egan-Jones Ratings Company,"HOVNANIAN ENTERPRISES, INC",CCC+,2014-09-15,357294,0,1531.0,Other,HOV,1.6741,1.6027,-3.932,17.7134,5.5524,5.5524,6.2306,1.1849,1.6873,1.0524,-5.5087,-7.2308,1.779,4.358,14.6837,15.9454,"Based on the given financial indicator results of Hovnanian Enterprises, Inc., it can be concluded that the overall credit status of the enterprise is poor. The binary rating of 0 indicates a negative credit outlook for the company. 

The current ratio of 1.6741 suggests that the company may have difficulty in meeting its short-term obligations, as it has more current liabilities than current assets. Moreover, the long-term debt to capital ratio of 1.6027 indicates a high level of debt in relation to its capital structure. This signifies a potentially risky financial position for the company.

The debt to equity ratio of -3.932 is unusual and suggests a negative equity situation. This could be a result of high levels of debt or losses incurred by the company. The negative gross margin of 17.7134 indicates that the company is not generating enough revenue to cover its direct costs of production, further contributing to its poor credit status.

Additionally, the negative return on equity (ROE) and return on tangible equity (ROTE) ratios of -5.5087 and -7.2308 respectively, highlight the company's inefficiency in generating profits from shareholders' investments or tangible assets.

Although Hovnanian Enterprises, Inc. has a positive net profit margin of 1.6873, it is important to note that this is a relatively low margin, indicating that the company's profitability is weak.

In summary, Hovnanian Enterprises, Inc. faces significant financial challenges with high debt levels, negative equity, and low profitability. These factors contribute to its poor credit status and suggest a need for improvement in its financial performance and risk management strategies."
Egan-Jones Ratings Company,CAMPBELL SOUP COMPANY,A-,2013-12-10,16732,1,2030.0,NoDur,CPB,0.6767,0.6777,3.6802,36.1649,13.4128,13.4128,18.4675,11.8604,5.688,0.9674,56.1984,-32.2581,8.1701,18.114,-0.2965,-0.3313,"Based on the financial indicators provided, the overall credit status of Campbell Soup Company appears to be positive. The company has a binary rating of 1, which signifies good credit. 

Looking at the liquidity position, the current ratio of 0.6767 suggests that the company may have some difficulty in meeting its short-term obligations. However, this is offset by the fact that Campbell Soup Company has a relatively low long-term debt to capital ratio of 0.6777, indicating that it has a manageable level of long-term debt in relation to its capital.

The debt/equity ratio of 3.6802 shows that the company relies heavily on debt financing, which may pose some risk. However, it is important to note that the company has a strong gross margin of 36.1649, indicating that it generates a significant profit from its products. The operating margin, EBIT margin, and EBITDA margin are all around 13.4128 - these figures suggest that Campbell Soup Company effectively manages its operating expenses.

The pre-tax profit margin of 11.8604 and net profit margin of 5.688 indicate that the company is able to generate profits from its operations, although the net profit margin could be improved. The asset turnover ratio of 0.9674 shows that the company efficiently utilizes its assets to generate revenue.

The return on equity (ROE) of 56.1984 is quite impressive, indicating that the company generates a high return for its shareholders. However, the return on tangible equity (ROTE) of -32.2581 suggests that the company's tangible assets are not generating a positive return. The return on assets (ROA) of 8.1701 and return on investment (ROI) of 18.114 indicate that the company is utilizing its assets and investments efficiently.

Lastly, the negative operating cash flow per share and free cash flow per share indicate that the company is currently experiencing negative cash flows. This could be a concern as it may limit the company's ability to invest in growth opportunities or pay off its debts.

In conclusion, Campbell Soup Company has a generally positive credit status, with strong profitability and efficient asset utilization. However, there are concerns regarding its liquidity position and reliance on debt financing."
Standard & Poor's Ratings Services,Hewlett Packard Enterprise Co.,A,2016-09-19,1645590,1,3571.0,BusEq,HPE,1.3624,0.3081,0.4657,32.3841,6.2619,6.2619,18.9626,6.2265,7.919,0.3889,7.7835,55.8494,3.3035,5.3854,-1.7721,-1.7449,"Based on the specific financial indicators of Hewlett Packard Enterprise Co., the company has been assigned a ""Good credit"" rating. The current ratio, which measures a company's ability to cover short-term obligations, is 1.3624. This indicates that the company has sufficient current assets to cover its current liabilities. Additionally, the long-term debt to capital ratio is 0.3081, suggesting that the company has a relatively low level of debt compared to its capital.

The debt/equity ratio, which measures the proportion of debt used to finance the company's assets, is 0.4657. This indicates that the company relies more on equity financing rather than debt financing. The gross margin, operating margin, EBIT margin, and pre-tax profit margin, all measure the profitability of the company, and they are 32.3841, 6.2619, 6.2619, and 6.2265 respectively. These margins demonstrate that the company is able to generate profits from its operations.

The return on equity (ROE) is 7.7835, indicating that the company is generating a reasonable return on the shareholders' investment. The return on tangible equity (ROTE) is significantly higher at 55.8494, suggesting that the company is effectively utilizing its tangible assets to generate profits. The return on assets (ROA) is 3.3035, indicating that the company is generating a moderate return on its total assets.

In terms of efficiency, the asset turnover ratio is 0.3889, suggesting that the company is able to generate sales from its assets. Finally, the operating cash flow per share and free cash flow per share are both negative, indicating that the company is currently experiencing negative cash flow.

Overall, based on these indicators, Hewlett Packard Enterprise Co. has a good credit status. The company demonstrates strong profitability, reasonable return on investment, and efficient use of assets. However, the negative cash flow is a concern and should be monitored closely."
Egan-Jones Ratings Company,ENTERGY CORPORATION,A,2014-12-03,65984,1,4911.0,Utils,ETR,0.9678,0.5558,1.4062,64.8831,11.8954,11.8954,29.5592,8.3975,6.2497,0.2624,7.5845,7.8142,1.6831,3.3363,1.317,6.8536,"Based on the given financial indicators of Entergy Corporation, it can be concluded that the overall credit status of the enterprise is good. The company has a current ratio of 0.9678, indicating that it has sufficient current assets to cover its short-term liabilities. This suggests that Entergy Corporation has a strong ability to meet its financial obligations in the near future.

Moreover, the company has a relatively low long-term debt to capital ratio of 0.5558, suggesting that it has a reasonable level of debt compared to its capital structure. This indicates that Entergy Corporation has a healthy financial position and is not overly reliant on debt financing.

Furthermore, the company's gross margin stands at 64.8831%, indicating that it has a high profitability margin. This suggests that Entergy Corporation is able to generate a significant profit from its revenue after deducting the cost of goods sold.

In terms of profitability, Entergy Corporation has a net profit margin of 6.2497%, indicating that it is able to generate a reasonable profit from its operations. Additionally, the return on equity (ROE) and return on assets (ROA) are 7.5845% and 1.6831% respectively, indicating that the company is effectively utilizing its shareholders' equity and assets to generate returns.

Overall, Entergy Corporation demonstrates a good credit status as it has a strong ability to meet its financial obligations, a healthy capital structure, and a reasonable level of profitability. The company's financial indicators reflect a stable and sustainable business performance."
Moody's Investors Service,FleetCor Technologies Operating Company LLC,BB-,2014-09-10,1175454,0,7374.0,BusEq,FLT,1.0465,0.3468,0.6862,91.7215,45.924,45.924,53.2786,43.9258,30.5567,0.2599,23.6588,-45.3579,7.943,15.4534,-1.7626,-1.8247,"Based on the provided financial indicators, FleetCor Technologies Operating Company LLC has a poor credit rating. The company's current ratio of 1.0465 indicates that it may struggle to meet its short-term obligations. Additionally, its long-term debt to capital ratio of 0.3468 suggests a relatively high level of debt compared to its capital structure, which could increase its financial risk.

The debt/equity ratio of 0.6862 further supports the notion of higher leverage, potentially making the company more vulnerable to economic downturns or changes in interest rates. While the gross margin of 91.7215 indicates strong profitability, the operating margin, EBIT margin, EBITDA margin, pre-tax profit margin, and net profit margin show a decline, with the net profit margin at 30.5567%, suggesting potential challenges in generating profits.

Moreover, the return on equity (ROE) of 23.6588% indicates that the company's shareholders are earning a decent return on their investments, but the negative return on tangible equity (-45.3579%) raises concerns about the company's ability to generate returns on its tangible assets. The return on assets (ROA) of 7.943% and return on investment (ROI) of 15.4534% also suggest a relatively lower efficiency in utilizing assets and investments to generate profits.

Furthermore, the negative operating cash flow per share and free cash flow per share indicate that the company is not generating sufficient cash from its core operations and has limited funds available for growth or debt repayment.

Overall, the combination of high debt levels, declining profit margins, and negative cash flows indicates a poor credit status for FleetCor Technologies Operating Company LLC."
Standard & Poor's Ratings Services,Suburban Propane Partners L.P.,BB,2012-04-26,1005210,0,5900.0,Shops,SPH,1.9656,0.4929,0.9719,42.9912,12.0304,12.0304,15.023,9.7308,9.6565,1.2448,32.0939,178.2724,12.02,16.2752,-0.6576,-0.6759,"Based on the specific financial indicators provided, Suburban Propane Partners L.P. has a poor credit rating. The company's current ratio of 1.9656 indicates that it has enough current assets to cover its short-term liabilities, which is a positive sign. However, the long-term debt to capital ratio of 0.4929 suggests that the company relies heavily on debt financing, which can be risky. Furthermore, the debt/equity ratio of 0.9719 indicates that the company has a significant amount of debt relative to its equity, which can pose challenges in meeting its financial obligations.

The gross margin of 42.9912 indicates the company's ability to generate profit from its revenue after accounting for the cost of goods sold. Similarly, the operating margin, EBIT margin, and EBITDA margin of 12.0304 and 15.023, respectively, highlight the company's ability to generate profit from its operations. However, these margins are not particularly high, suggesting that the company's profitability may be limited.

The pre-tax profit margin and net profit margin of 9.7308 and 9.6565, respectively, indicate the company's ability to generate profit after accounting for taxes and other expenses. These margins, while positive, are relatively low and may indicate that the company's profitability is not sustainable in the long term.

The asset turnover ratio of 1.2448 suggests that the company is able to generate a moderate amount of revenue from its assets. However, the return on equity (ROE) of 32.0939 and return on tangible equity (ROTE) of 178.2724 indicate that the company is able to generate a high return on its shareholders' equity and tangible equity, respectively. This suggests that the company is efficiently utilizing its capital and assets to generate profits.

The return on assets (ROA) of 12.02 and return on investment (ROI) of 16.2752 indicate that the company is able to generate a moderate return on its total assets and investments, respectively.

Overall, while Suburban Propane Partners L.P. demonstrates some positive financial indicators such as a strong current ratio and high ROE and ROTE, its heavy reliance on debt, relatively low profitability margins, and moderate return on assets suggest a poor credit status. The company may face challenges in meeting its financial obligations and sustaining profitability in the long run."
Moody's Investors Service,Union Pacific Corporation,A-,2014-04-17,100885,1,4011.0,Other,UNP,1.0525,0.2948,0.4512,51.482,33.9025,33.9025,41.9934,32.0903,19.9791,0.4416,20.6737,20.6737,8.8235,14.5795,0.8592,1.0502,"Based on the financial indicators provided, Union Pacific Corporation demonstrates a favorable credit status. The company's current ratio of 1.0525 indicates that it possesses sufficient current assets to cover its short-term liabilities. Additionally, with a debt/equity ratio of 0.4512 and a long-term debt/capital ratio of 0.2948, Union Pacific Corporation appears to have a conservative approach to debt management, reflecting a healthy financial position.

The company's profitability is also commendable, as evidenced by its gross margin of 51.482% and net profit margin of 19.9791%. These figures indicate that Union Pacific Corporation is effectively managing its costs and generating significant profits from its operations. 

Furthermore, the company's return on equity (ROE) of 20.6737% and return on assets (ROA) of 8.8235% suggest that it is efficiently utilizing its resources to generate profits for its shareholders. The return on investment (ROI) of 14.5795% further highlights the company's ability to generate returns for its investors.

Union Pacific Corporation's liquidity is also noteworthy, with positive operating cash flow per share of 0.8592 and free cash flow per share of 1.0502. These figures indicate that the company has sufficient cash flow to meet its operational and investment needs.

Overall, Union Pacific Corporation's strong financial indicators, including its profitability, liquidity, debt management, and return on investment, contribute to its ""Good credit"" rating. The company demonstrates a sound financial position and effective utilization of its resources, positioning it as a reliable and creditworthy enterprise."
Moody's Investors Service,Teck Resources Limited,BB-,2015-12-11,886986,0,1000.0,Other,TECK,2.0411,0.2984,0.4481,17.7695,12.1876,12.1876,27.8172,8.4195,4.4424,0.2334,2.1193,2.3309,1.0836,1.4868,-1.2514,-0.4865,"Based on the specific financial indicator results of Teck Resources Limited, it can be concluded that the overall credit status of the company is poor. The company's current ratio of 2.0411 indicates that it may have difficulty meeting its short-term obligations. Additionally, the long-term debt to capital ratio of 0.2984 suggests that the company has a significant amount of debt relative to its capital, which could pose a risk to its financial stability.

The debt/equity ratio of 0.4481 further indicates that Teck Resources has a moderate level of debt compared to its equity, but still warrants caution. The gross margin of 17.7695 and the operating margin, EBIT margin, and EBITDA margin of 12.1876 highlight the company's limited profitability. These margins indicate that the company is not generating substantial profits from its operations.

Furthermore, the pre-tax profit margin of 8.4195 and net profit margin of 4.4424 demonstrate that Teck Resources' profitability is relatively low. The asset turnover ratio of 0.2334 suggests that the company's assets are not being efficiently utilized to generate sales. The return on equity, return on tangible equity, return on assets, and return on investment ratios all indicate low returns for investors.

Finally, the negative operating cash flow per share and free cash flow per share indicate that the company is currently experiencing a cash flow deficit, which could further strain its financial position.

In conclusion, based on the financial indicators provided, Teck Resources Limited has a poor credit status. The company faces challenges in meeting its short-term obligations, has a significant amount of debt, limited profitability, low returns for investors, inefficient asset utilization, and a negative cash flow. These factors combined suggest a weak financial position and raise concerns about the company's creditworthiness."
Egan-Jones Ratings Company,"H&R BLOCK, INC",A-,2015-06-15,12659,1,7200.0,Shops,HRB,1.5713,0.2161,0.2761,72.31,25.8121,25.8121,31.0028,24.1276,15.3854,0.6818,26.5552,50.7566,10.7796,20.8166,-0.672,-0.5838,"Based on the specific financial indicators of H&R Block, Inc, the overall credit status of the enterprise can be summarized as positive. The company demonstrates a strong financial position with a current ratio of 1.5713, indicating that it has sufficient current assets to cover its short-term obligations. Moreover, H&R Block has managed its debt well, with a low long-term debt to capital ratio of 0.2161 and a debt/equity ratio of 0.2761. These ratios suggest that the company has a relatively low level of debt compared to its capital and equity.

Furthermore, H&R Block exhibits healthy profitability indicators. The company has a gross margin of 72.31%, indicating its ability to generate profits from its core operations. The operating, EBIT, EBITDA, pre-tax profit, and net profit margins are also quite impressive, ranging from 15.3854% to 31.0028%. These margins highlight H&R Block's efficiency in managing its costs and generating profits.

In terms of asset management, H&R Block's asset turnover ratio of 0.6818 indicates that the company is effectively utilizing its assets to generate sales. This suggests a good level of operational efficiency. Additionally, the return on equity (ROE) of 26.5552% and return on tangible equity (ROTE) of 50.7566% reflect the company's ability to generate returns for its shareholders.

Overall, H&R Block, Inc demonstrates a strong credit status based on its financial indicators. The company's healthy profitability, efficient use of assets, and low debt levels contribute to its positive credit rating."
